,node_id,prjct_d,vsn,address,dscrptn,strt_tm,end_tms,longitude,latitude
113,001e061183eb,AoT_Chicago,0BE,63rd St & Halsted Ave Chicago IL,AoT Chicago (S) [CP],5/16/19 0:00,NA,-87.644777,41.779889
114,001e061183f5,AoT_Chicago,0BF,111th & Michigan Ave Chicago IL,AoT Chicago (S) [CP],6/24/19 0:00,NA,-87.62102,41.692703
115,001e061182a7,AoT_Chicago,0C0,111th & Vincennes Chicago IL,AoT Chicago (S) [CP],6/24/19 0:00,NA,-87.663723,41.691803
116,001e06118509,AoT_Chicago,0C2,Racine Ave & 63rd St Chicago IL,AoT Chicago (S) [CP],4/25/19 0:00,NA,-87.654487,41.779744
117,001e06118182,AoT_Chicago,0C3,Loomis Ave & 63rd St Chicago IL,AoT Chicago (S) [CP],4/25/19 0:00,NA,-87.659354,41.779593
118,001e061184e7,AoT_Chicago,0.00E+00,Kostner Ave & 31st St Chicago IL,AoT Chicago (S) [CP],4/25/19 0:00,NA,-87.734087,41.836875
119,001e06118295,AoT_Chicago,0EA,Pershing Rd & Damen Ave Chicago IL,AoT Chicago (S) [CP],4/25/19 0:00,NA,-87.802435,41.820972
120,001e061182a3,AoT_Chicago,0F2,ComEd Training Center,AoT Chicago (S) [CP] {ComEd},4/25/19 0:00,NA,-87.659467,41.829806
121,001e061181e8,AoT_Chicago,10C,ComEd Training Center,AoT Chicago (S) [CP] {ComEd},4/25/19 0:00,NA,-87.659467,41.829806
122,001e06118433,AoT_Chicago,10E,ComEd Training Center,AoT Chicago (S) [CP] {ComEd},4/25/19 0:00,NA,-87.659467,41.829806
123,001e061183bf,AoT_Chicago,11A,ComEd Training Center,AoT Chicago (S) [CP] {ComEd},4/25/19 0:00,NA,-87.659467,41.829806
124,001e0611804d,AoT_Chicago,11E,ComEd Training Center,AoT Chicago (S) [CP] {ComEd},4/25/19 0:00,NA,-87.659467,41.829806
125,001e061182a2,AoT_Chicago,13B,ComEd Training Center,AoT Chicago (S) [CP] {ComEd},4/25/19 0:00,NA,-87.659467,41.829806
126,001e061144be,AoT_Chicago,890,"UChicago, Regenstine Chicago IL",AoT Chicago (S) [C] {UChicago},3/15/18 0:00,NA,-87.600008,41.792543
