"GEOID","NAME","mediancomeE","mediancomeM","valueE","valueM","medianyearbuiltE","medianyearbuiltM","NoVehicleE","NoVehicleM"
"20173010006","Census Tract 100.06; Sedgwick County; Kansas",70887,70677,229952000,134204720,1991,10,0,11
"20173010007","Census Tract 100.07; Sedgwick County; Kansas",79795,14066,NA,NA,2007,2,13,23
"20173010106","Census Tract 101.06; Sedgwick County; Kansas",89207,11577,NA,NA,1997,3,1,2
"20173010107","Census Tract 101.07; Sedgwick County; Kansas",73672,17436,NA,NA,1984,2,109,72
"20173010108","Census Tract 101.08; Sedgwick County; Kansas",92652,12289,NA,NA,1988,2,11,14
"20173010109","Census Tract 101.09; Sedgwick County; Kansas",38350,5315,152333700,64072097,1983,4,14,16
"20173010110","Census Tract 101.10; Sedgwick County; Kansas",94338,9032,232446500,41740666,1974,2,10,11
"20173010111","Census Tract 101.11; Sedgwick County; Kansas",98190,17049,NA,NA,1993,2,29,33
"20173010113","Census Tract 101.13; Sedgwick County; Kansas",101944,9706,353431800,48764097,2004,2,21,29
"20173010115","Census Tract 101.15; Sedgwick County; Kansas",147833,21662,1243409700,299964601,2004,2,148,96
"20173010116","Census Tract 101.16; Sedgwick County; Kansas",108365,16946,NA,NA,2010,2,0,11
"20173010201","Census Tract 102.01; Sedgwick County; Kansas",75878,11373,304159900,78035577,1975,4,14,25
"20173010202","Census Tract 102.02; Sedgwick County; Kansas",79688,22888,343437800,59146273,1994,10,271,360
"20173010301","Census Tract 103.01; Sedgwick County; Kansas",135625,22960,NA,NA,2007,1,30,49
"20173010302","Census Tract 103.02; Sedgwick County; Kansas",89107,25223,NA,NA,2010,6,165,155
"20173010400","Census Tract 104; Sedgwick County; Kansas",81484,8226,NA,NA,1957,10,7,8
"20173010500","Census Tract 105; Sedgwick County; Kansas",99653,14535,375220900,47395392,1985,8,4,6
"20173010600","Census Tract 106; Sedgwick County; Kansas",97500,36043,402934900,104853036,1991,4,2,4
"20173010700","Census Tract 107; Sedgwick County; Kansas",77219,6206,NA,NA,1981,5,68,75
"20173010801","Census Tract 108.01; Sedgwick County; Kansas",58462,10435,54227100,14064125,1991,4,26,33
"20173010802","Census Tract 108.02; Sedgwick County; Kansas",62206,15711,NA,NA,1998,4,48,35
"20173010900","Census Tract 109; Sedgwick County; Kansas",111916,23542,NA,NA,1951,4,23,22
"20175965600","Census Tract 9656; Seward County; Kansas",69188,10451,NA,NA,1976,4,17,17
"20175965700","Census Tract 9657; Seward County; Kansas",75583,11964,NA,NA,1989,5,123,80
"20175965800","Census Tract 9658; Seward County; Kansas",63256,9890,NA,NA,1962,5,13,20
"20175965900","Census Tract 9659; Seward County; Kansas",54025,9587,136492700,27442818,1968,4,54,58
"20175966000","Census Tract 9660; Seward County; Kansas",45187,15316,61517100,29413696,1971,6,210,169
"20177000400","Census Tract 4; Shawnee County; Kansas",32500,4514,NA,NA,1949,17,315,126
"20177000500","Census Tract 5; Shawnee County; Kansas",31875,5590,NA,NA,1953,12,86,59
"20177000600","Census Tract 6; Shawnee County; Kansas",39688,7249,NA,NA,1938,NA,114,56
"20177000700","Census Tract 7; Shawnee County; Kansas",51420,8953,NA,NA,1959,14,38,36
"20177000800","Census Tract 8; Shawnee County; Kansas",43381,4912,NA,NA,1955,6,172,121
"20177000900","Census Tract 9; Shawnee County; Kansas",55465,5729,104478000,40849853,1943,8,60,51
"20177001000","Census Tract 10; Shawnee County; Kansas",39671,11786,88144800,17733755,1944,7,172,143
"20177001100","Census Tract 11; Shawnee County; Kansas",27750,18109,NA,NA,1954,11,117,92
"20177001200","Census Tract 12; Shawnee County; Kansas",39643,4157,28280100,9077917,1963,6,27,25
"20177001300","Census Tract 13; Shawnee County; Kansas",45878,5953,NA,NA,1955,2,0,11
"20177001500","Census Tract 15; Shawnee County; Kansas",46974,8392,46404900,9753992,1960,4,25,21
"20177001601","Census Tract 16.01; Shawnee County; Kansas",64063,22460,NA,NA,1960,3,51,57
"20177001603","Census Tract 16.03; Shawnee County; Kansas",55656,10038,NA,NA,1970,2,79,51
"20177001604","Census Tract 16.04; Shawnee County; Kansas",54779,18950,NA,NA,1971,3,57,45
"20177001800","Census Tract 18; Shawnee County; Kansas",80313,14731,109602000,20296483,1938,NA,28,53
"20177001900","Census Tract 19; Shawnee County; Kansas",81803,20510,207419500,46418203,1941,4,105,63
"20177002100","Census Tract 21; Shawnee County; Kansas",53934,8918,NA,NA,1943,4,37,34
"20177002200","Census Tract 22; Shawnee County; Kansas",51987,11773,110832300,26588291,1938,NA,94,70
"20177002401","Census Tract 24.01; Shawnee County; Kansas",49529,17051,NA,NA,1979,5,204,90
"20177002402","Census Tract 24.02; Shawnee County; Kansas",49018,12034,101772400,58706341,1980,6,33,31
"20177002500","Census Tract 25; Shawnee County; Kansas",65417,14628,NA,NA,1962,3,92,59
"20177002601","Census Tract 26.01; Shawnee County; Kansas",62417,14592,NA,NA,1966,3,73,46
"20177002602","Census Tract 26.02; Shawnee County; Kansas",58176,7529,391982000,62945402,1982,3,149,141
"20177002701","Census Tract 27.01; Shawnee County; Kansas",61669,7998,NA,NA,1958,2,78,75
"20177002702","Census Tract 27.02; Shawnee County; Kansas",62027,12613,280952800,45135711,1981,4,62,48
"20177002800","Census Tract 28; Shawnee County; Kansas",50204,14131,NA,NA,1968,5,158,92
"20177002900","Census Tract 29; Shawnee County; Kansas",42955,10729,NA,NA,1959,2,67,64
"20177003001","Census Tract 30.01; Shawnee County; Kansas",47078,4805,62271000,18385908,1960,4,86,49
"20177003002","Census Tract 30.02; Shawnee County; Kansas",77692,11372,261260100,31729774,1979,3,17,28
"20177003100","Census Tract 31; Shawnee County; Kansas",50782,7875,NA,NA,1979,7,66,60
"20177003301","Census Tract 33.01; Shawnee County; Kansas",80208,9322,NA,NA,1975,3,8,13
"20177003302","Census Tract 33.02; Shawnee County; Kansas",90625,15135,NA,NA,1983,8,20,25
"20177003401","Census Tract 34.01; Shawnee County; Kansas",102701,15645,413145800,55796115,1980,6,0,16
"20177003402","Census Tract 34.02; Shawnee County; Kansas",100761,15937,NA,NA,1983,9,13,22
"20177003500","Census Tract 35; Shawnee County; Kansas",79448,12832,435574300,52861106,1976,3,21,20
"20177003601","Census Tract 36.01; Shawnee County; Kansas",83250,10533,NA,NA,1983,7,53,48
"20177003604","Census Tract 36.04; Shawnee County; Kansas",112878,15337,491583600,68345255,1985,4,85,56
"20177003605","Census Tract 36.05; Shawnee County; Kansas",110281,15236,556634600,112158558,1990,5,68,47
"20177003606","Census Tract 36.06; Shawnee County; Kansas",74844,9353,239530500,39011490,1986,2,13,20
"20177003607","Census Tract 36.07; Shawnee County; Kansas",97344,31697,700633700,167269464,1999,2,77,64
"20177003701","Census Tract 37.01; Shawnee County; Kansas",68938,19343,344856100,56003509,1993,6,0,16
"20177003702","Census Tract 37.02; Shawnee County; Kansas",66552,27185,167392600,94259144,1969,7,33,38
"20177003901","Census Tract 39.01; Shawnee County; Kansas",105653,6432,573346800,54507292,1978,2,0,16
"20177003902","Census Tract 39.02; Shawnee County; Kansas",84734,16612,506490700,76617683,1984,6,0,11
"20177004000","Census Tract 40; Shawnee County; Kansas",23987,2185,NA,NA,1941,13,430,181
"20177004100","Census Tract 41; Shawnee County; Kansas",66296,7244,NA,NA,1949,3,200,80
"20179952800","Census Tract 9528; Sheridan County; Kansas",66719,13594,125048800,17751966,1963,5,59,32
"20181453600","Census Tract 4536; Sherman County; Kansas",74730,14020,106965500,24671614,1970,7,2,4
